Text;Classification;Date
"Pour répondre à Pascal Terrasse, je dirai que bien évidemment l'efficacité et la sobriété énergétiques sont primordiales ; cependant, l'énergie est l'essence de la vie. Les technologies numériques sont aussi consommatrices d'énergie. Nous serons d'accord pour dire que l'efficacité énergétique tourne autour de deux points : la rénovation thermique et la méthanisation. Les efforts sur la rénovation thermique, annoncés par le Gouvernement, sont bienvenus mais encore insuffisants. Pour revenir à la question des prestataires soulevée par Pascal Terrasse, l'Autorité de sûreté nucléaire a mis parmi ses priorités l'aspect social de la sûreté. À titre d'exemple, les chauffeurs d'autocar répondront-ils présents s'il y a lieu d'aller évacuer des populations résidant à proximité immédiate d'une centrale nucléaire accidentée ou refuseront-ils ? Il n'y a pas que la question de la sous-traitance stricto sensu mais plutôt celle des prestataires au sens large. Concernant le stockage, nous vérifierons la réalité du projet de recherche sur le stockage de l'électricité mais à l'évidence, il y a des efforts à faire dans ce domaine. Monsieur Gagnaire, nous sommes d'accord sur le fait que plus personne ne demande un mix électrique à 100 % d'origine nucléaire et peu de personnes ne prônent la sortie totale du nucléaire. Cependant, il apparaît que la volonté de déterminer un mix énergétique, a priori, est un exercice qui n'a que peu de sens. Le mix doit s'adapter à la technologie du moment. Nous pouvons avoir légitimement l'objectif d'investir dans les énergies renouvelables mais encore faut-il pour cela en avoir les moyens financiers et technologiques. Monsieur de Courson, nous devons en effet expliciter les incohérences des politiques énergétiques des pays européens. Nous pourrions avoir des centrales d'achat de gaz. Nous pourrions explorer les systèmes des autres pays européens qui ont développé les électro-intensifs, sans buter immédiatement sur des contraintes communautaires. Monsieur Alauzet, vous dites que le nucléaire est une énergie fossile mais la quantité de matière nécessaire est quand même très limitée. Nous rejoignons en cela la question des réacteurs de nouvelle génération moins consommateurs de matière. Nous allons ajouter dans le rapport une réflexion sur l'assurance du risque nucléaire. Après Fukushima, on a majoré la prise en compte assurancielle d'un incident nucléaire. Au Japon, nous avons bien vu que la catastrophe nucléaire a des coûts et que le coût de l'accident majeur est finalement assumé par la collectivité. Dans la mesure où un pays prend la décision de développer une industrie nucléaire, il n'est pas illégitime qu'il en assume le risque. L'assurance couvre jusqu'à l'incident majeur ; au-delà, c'est bien à la collectivité publique de couvrir les coûts d'assurance correspondants.";negative;16.10.2013
Madame la présidente, monsieur le secrétaire d’État, en cette fin de quinquennat, nous entrons forcément dans la période du bilan ! Dans le domaine de l’énergie, le point d’orgue des cinq dernières années de la présidence de François Hollande aura peut-être été la loi relative à la transition énergétique. Ce texte a affaibli la solidité et la cohérence de notre politique énergétique. Tout d’abord, il a cassé le consensus national qui existait depuis le général de Gaulle sur le nucléaire civil. C’est une faute grave. Alors que les Français devraient être fiers de leur filière nucléaire et informés sur ses technologies, des membres du Gouvernement ont sciemment, par idéologie, attisé les peurs. Par ailleurs, la loi de transition énergétique a opposé de façon manichéenne les énergies renouvelables au nucléaire. Or, le nucléaire n’émet quasiment pas de gaz à effet de serre. Mieux, il permet de financer la recherche et l’innovation dans le domaine des énergies alternatives dont il faudra d’ailleurs un jour dresser le bilan. Enfin, cette loi a posé l’objectif irréaliste de réduire à 50 % la part du nucléaire dans le mix énergétique français. Tous ceux qui sont ici de bonne foi savent qu’il n’est pas tenable. La majorité issue des urnes au printemps prochain, quelle qu’elle soit, devra revenir dessus. Dans un contexte de montée du cours du pétrole et d’incertitudes géopolitiques multiples, le nucléaire participe à l’indépendance énergétique de la France. Il permet également aux Français de bénéficier d’une électricité à un prix relativement bas – un ménage français paie son électricité 70 % moins cher qu’un ménage allemand. Enfin, il est la troisième filière industrielle française, derrière l’aéronautique et l’automobile. Il représente 2 500 entreprises et 220 000 emplois. Il doit être l’une de nos fiertés nationales. L’État doit profiter de sa participation au capital d’EDF et d’Areva pour soutenir deux orientations stratégiques. La première est celle de l’innovation. La France est un grand acteur de la recherche sur les technologies du futur. Le nucléaire est encore une énergie jeune qui connaîtra immanquablement des sauts technologiques. Nous devons être en pointe sur le sujet. La seconde orientation est celle des exportations. Alors que la Chine, par exemple, prévoit de construire cinq à huit réacteurs par an jusqu’en 2030, il est nécessaire de valoriser nos compétences françaises à l’export. Quelles mesures le Gouvernement compte-t-il prendre afin de relever ces deux défis pour la filière nucléaire française : la recherche-développement et l’exportation ?;positive;10.01.2017
"Je tiens à remercier les différents orateurs et particulièrement M. le rapporteur, Guy-Michel Chauveau, pour le travail de qualité – je parlerai même de travail de pédagogie – qu'il a accompli sur un sujet aussi technique. Monsieur le député Bataille, vous avez justement rappelé que sept années ont été nécessaires pour mettre pleinement en accord notre législation interne avec les exigences de ce texte. Mais la France n'aura pas attendu cette ratification pour montrer l'exemple. Ainsi, en 2011, nous avons demandé à l'Agence internationale de l'énergie atomique qu'elle procède, sur notre territoire, à l'évaluation des mesures nationales de sécurité. Les résultats sont probants et à l'honneur de notre dispositif national, ce qui peut, je le pense, rassurer M. le député Chassaigne. Par ailleurs, dans tous les accords bilatéraux de coopération dans le domaine de l'utilisation pacifique de l'énergie nucléaire, la France demande à ses partenaires de respecter les plus hauts standards en matière de sécurité nucléaire. Je comprends que certains préféreraient un système international de surveillance de la mise en oeuvre de ces mesures ; il existe même s'il n'est pas contraignant. Je pense, par exemple, aux deux sommets sur la sécurité nucléaire – Washington en 2010 et Séoul en 2012 – au cours desquels la France a plaidé pour une attention accrue à la sécurité des matières radiologiques. Je pense aussi au rapport annuel de l'AIEA sur la gestion de la sécurité nucléaire. Grâce à cette ratification, la France pourra mener une politique active de promotion de cet outil et pourra aussi aider nos partenaires à mettre en oeuvre les mesures de sécurité répondant aux plus hauts standards. Ce dispositif serait utilement complété par la ratification de la convention des Nations unies sur les actes de terrorisme nucléaire. Je ne peux que m'associer aux députés Chanteguet et Baupin pour souhaiter son examen rapide. Notre pays bénéficiant d'une expertise reconnue dans le domaine du nucléaire civil, sa voix portera maintenant d'autant plus grâce à la ratification de ce texte.";positive;25.07.2012
La lecture de l'exposé des motifs de la proposition de résolution, voire celle de l'article unique, suffit à nous persuader que la commission d'enquête sera à charge. L'objectif d'une commission d'enquête est d'étudier un sujet avec le moins d'a priori possible. Or, tel qu'il a été déterminé, le périmètre de l'article unique ne vise qu'à aboutir à la conclusion que le nucléaire, c'est mal parce que ça coûte cher, nos collègues écologistes dissimulant à peine leur parti pris. Étudier le coût du nucléaire en termes budgétaires est très partiel : le nucléaire coûte cher, c'est vrai, monsieur Baupin, mais depuis quand la majorité et ses alliés jugent-ils les choix de l'État uniquement en fonction de leur coût ? Pour arriver à des conclusions exploitables et fiables, il faut peser les coûts et les bénéfices sans s'arrêter aux seuls aspects financiers. C'est la raison pour laquelle mon amendement CE1 vise à inclure les questions économiques, moins restrictives que la seule vision pécuniaire, et énergétiques – le nucléaire n'est pas sans lien avec l'indépendance énergétique –, sans oublier la comparaison du coût du nucléaire à celui d'autres sources d'énergie. La commission d'enquête doit également se pencher sur les aspects environnementaux – les écologistes préfèrent-ils une source d'énergie moins coûteuse mais plus polluante ? – et sociaux : je pense aux emplois qui pourraient être détruits ou créés en cas de remise en cause de la filière. Il faut peser le pour et le contre : les commissions d'enquêtes ne sont pas des motions de congrès écologistes. On peut être contre le nucléaire tout en voulant effectuer un travail objectif. Si vous êtes convaincu que la place du nucléaire dans le mix énergétique français n'est pas justifiée, alors tous les arguments doivent être étudiés, faute de quoi un soupçon de partialité persistera.;positive;03.12.2013
Cette commission d'enquête vise à évaluer les coûts de la filière nucléaire pour les comparer avec ceux d'autres modes d'énergie, qui ont déjà été évalués ou qui peuvent faire l'objet d'autres travaux. La commission d'enquête ne vise que l'énergie nucléaire. M. Prat, en soulignant le pragmatisme avec lequel la question était posée, a rappelé les objectifs du Président de la République qui doivent guider nos travaux. Je suis surprise d'entendre évoquer une fermeture anticipée de Fessenheim, compte tenu de l'âge de la centrale. Cette fermeture est annoncée depuis longtemps : la date est désormais fixée. L'exposé des motifs se contente de faire un état des lieux de l'évolution du poids du nucléaire en France et dans le monde. Monsieur Cinieri, le coût du nucléaire doit inclure les externalités, qu'elles soient positives ou négatives : tel est l'objet de la commission d'enquête. Madame Massat a rappelé que la commission d'enquête aurait pour objet d'évaluer les risques, les avantages, les coûts et les opportunités du nucléaire : il ne s'agit pas de prendre parti avant son ouverture. C'est considérer que les centrales nucléaires sont éternelles qui revient à reporter sur les générations futures le coût financier de leur démantèlement ainsi que les risques liés à leur prolongation, lesquels augmentent avec les années. Jamais encore le coût de la filière nucléaire n'a été évalué : si les évolutions énergétiques, les aspects environnementaux et sociaux peuvent être étudiés par ailleurs, ils ne constituent pas l'objet de la commission d'enquête. Je vous remercie, Monsieur le président, d'avoir rappelé que, ce soir, nous devons uniquement définir le cadre de la commission d'enquête qui mobilisera une trentaine de parlementaires. Si, comme le pensent certains, l'exposé des motifs est partial, la composition de la commission d'enquête permettra de rétablir l'impartialité.;positive;03.12.2013
Je souhaite présenter un amendement qui risque de tomber et qui tend à sanctuariser la filière nucléaire. Sur le plan de la méthode, je constate une asymétrie puisqu'il est impossible d'adopter un amendement permettant à l'État de prolonger la vie des centrales alors que l'on peut en adopter d'autres qui sous-entendent que l'on peut tuer une filière. Nous connaissons les problèmes de la filière nucléaire française – dont témoigne la situation d'AREVA. Or il est évident que, lorsque dans un texte relatif à la stratégie énergétique, on ne dit rien sur la filière du nucléaire, on n'aide pas nos entreprises à vendre cette technologie et ce savoir-faire. Il y a des moments où il faut savoir trancher. Nous souhaitons donc mettre l'accent sur la sanctuarisation de la filière et de la capacité nucléaire française. Dans la mesure où cet amendement va probablement tomber, Mme la rapporteure pourrait-elle reprendre cet objectif ? Par ailleurs, l'affirmation selon laquelle la stratégie à 100 % d'énergies renouvelables est légèrement plus coûteuse que celle à 50 % de nucléaire me surprend fortement : comment la fermeture de la centrale de Flamanville vingt ans après sa mise en marche ne constituerait-elle pas une destruction de valeur ? Je souhaiterais savoir si, dans ce scénario, on a bien évalué le coût de la casse sociale en termes d'emplois, celui du démantèlement de l'ensemble des réacteurs, celui de l'enfouissement des déchets et celui de la filière plutonium. J'ai bien entendu les conclusions de la Commission d'enquête relative au coût total du nucléaire, auxquels certains ont voulu ajouter celui de Fukushima. Établissons alors le coût total du scénario à 100 % d'énergies renouvelables en prenant en compte celui de la destruction de la filière nucléaire. J'aurais donc souhaité avoir l'avis de la rapporteure sur un sous-amendement à l'amendement de M. Chanteguet.;positive;14.04.2015
Il s’agit là encore d’un amendement lié au financement de la sûreté nucléaire, puisqu’il traite des CLI, les commissions locales d’information nucléaire. J’ai assisté la semaine dernière à la vingt-septième conférence des CLI organisée par l’Association nationale des comités et commissions locales d’information – ANCCLI. Ces associations, dont beaucoup comprennent des élus locaux, s’investissent pour comprendre ce qu’est la sûreté nucléaire, interroger l’Autorité de sûreté nucléaire, EDF, Areva ou le Commissariat à l’énergie atomique et aux énergies alternatives, et faire en sorte que nos concitoyens soient informés. Leur travail est remarquable. Il leur manque toutefois des effectifs. Lorsque nous avions, avec François Brottes, procédé à des auditions dans le cadre de la commission d’enquête relative aux coûts passés, présents et futurs de la filière nucléaire, nous étions convenu – ce qui montre que la question est transpartisane, ou du moins indépendante de l’opinion que l’on a sur le nucléaire – que faire des économies de bouts de chandelles sur les CLI était dommageable, car cela ne permettait pas à cette expertise citoyenne de se faire. Cela d’autant plus que la loi relative à la transition énergétique a renforcé le rôle des CLI, en leur attribuant des compétences supplémentaires en matière de visite et de suivi des modifications des plans particuliers d’intervention. Or, ceux-ci vont nécessairement être modifiés, puisque les nouvelles normes européennes prévoient que le périmètre des plans d’intervention en cas d’accident nucléaire devra être d’au moins vingt kilomètres, contre dix auparavant. Les CLI vont donc être sollicitées, et il serait pertinent de leur donner les moyens d’agir. Cet amendement vise en conséquence à demander, non pas de l’argent, mais un rapport, afin de savoir si l’on a la capacité ou non de mettre en place un dispositif de financement des CLI. Franchement, monsieur le secrétaire d’État, cela permettrait d’envoyer à ces associations un signal positif en leur montrant notre volonté de prendre leur travail en considération !;neutral;10.11.2015
"Si l'on s'apprête à solliciter le contribuable, c'est qu'EDF est en crise, voire en danger mortel. Nous pensons qu'il est encore temps de la sauver, à la condition toutefois de poser le bon diagnostic ; or celui que vous avez posé est plutôt conservateur. Selon nous, en effet, la crise que traverse EDF n'est pas une crise conjoncturelle mais bien une crise structurelle, semblable à celle qu'a traversée Kodak, incapable de s'adapter aux évolutions technologiques qu'a connues son secteur. Vous n'avez pas mentionné l'incertitude que fait peser sur EDF la décision que prendra l'Autorité de sûreté nucléaire (ASN) à propos de l'extension du fonctionnement des centrales au-delà des quarante ans, perspective qui s'approche à grande vitesse : notre parc a déjà une trentaine d'années … Le mythe du nucléaire bon marché est aujourd'hui totalement dépassé. Alors que le coût des énergies renouvelables baisse de façon spectaculaire, les études de l'Agence internationale de l'énergie (AIE) ou de l'Agence internationale pour les énergies renouvelables (IRENA) font apparaître que ce sont des EnR que viendra désormais la compétitivité énergétique. Il suffit pour s'en convaincre de constater qu'aujourd'hui, en France, le secteur nucléaire supprime des emplois quand l'éolien en crée massivement. Ne faudrait-il donc pas se poser la question des surcapacités nucléaires d'EDF et envisager un accord avec nos voisins allemands pour qu'ils ferment leurs vieilles centrales à charbon et que nous fermions nos vieilles centrales nucléaires ? Cela aurait en outre le mérite d'améliorer nos bilans écologiques. Il faut réorienter les financements dans le sens de la transition énergétique. Compte tenu du coût astronomique du grand carénage que la Cour des comptes estime à 100 milliards d'euros, doit-on réellement prolonger la durée de vie de tous les réacteurs ? Les contribuables français doivent-ils financer un projet nucléaire pharaonique en Grande-Bretagne plutôt que de financer les EnR qui, à la différence d'un réacteur équipé d'une cuve fabriquée au Japon, pourront contribuer à notre souveraineté énergétique ?";negative;22.03.2016
Nous vous remercions pour cet exposé qui nous a beaucoup appris. Par votre culture, vous défendez le nucléaire français que vous connaissez à la perfection et vous souhaitez une autre approche concernant les gaz de schiste. En matière d'orientation énergétique, notre pays est à la croisée des chemins. Or le prix de l'énergie a une incidence claire à la fois sur le niveau de vie de nos concitoyens et sur le niveau d'activité économique de la nation. Élu d'une région frontalière, j'écoute parfois la radio allemande et je peux mesurer à quel point le coût de l'énergie et de l'électricité pour les ménages devient un enjeu de campagne électorale. Tels sont les spasmes de l'opinion : après l'accident de Fukushima, la grande majorité de la population allemande a approuvé la fermeture des centrales nucléaires au profit des énergies renouvelables. Mais le développement de ces énergies provoque une augmentation du prix de l'électricité. En période de crise, ce qui semblait évident hier ne l'est plus aujourd'hui. Chacun aurait donc intérêt à examiner sur ce qui se passe chez ses voisins. Sauf erreur de ma part, l'idée de transition énergétique porte à la fois sur la nature des énergies et sur les volumes consommés. Comment optimiser, en France, notre consommation d'énergie ? Il me semble que l'on peut arriver à un consensus sur ces questions : moins on consommera d'énergie, mieux on se portera.;positive;24.01.2013
Je vous remercie, madame, messieurs, de vos réponses. Nous parlons de transition énergétique et de mix énergétique, mais nous avons besoin, dans ce cadre, du nucléaire. Monsieur Lévêque, vous avez parlé de la malédiction des coûts croissants, non seulement à cause de la hausse des coûts d’exploitation, liés à l’entretien et à la nécessité de faire des travaux pour garantir la sécurité, mais aussi parce que le fait de n’avoir que de nouvelles installations pourrait coûter encore plus cher que le maintien des installations existantes. Le Gouvernement a dit que l’on ouvrirait de nouvelles centrales, une fois que nous serions arrivés au bout des anciennes. Mais quelle est, pour la direction de l’entreprise elle-même, la bonne stratégie de renouvellement du parc nucléaire ? Vous avez évoqué des pays où les autorités de sûreté indépendantes n’existent pas : quel chemin emprunter pour parvenir à créer ces autorités dans les pays qui produisent de l’énergie nucléaire ? Enfin, alors que les départs en retraite sont nombreux, comment préserver le savoir-faire, la connaissance collective et, pour ainsi dire, l’héritage de l’entreprise ?;positive;30.03.2016
…et qui a dit sans discontinuer depuis deux ans et demi que les engagements de ramener la part du nucléaire dans la production d’électricité de 75 à 50 % d’ici 2025 et de fermer la centrale de Fessenheim d’ici à la fin de son mandat serait tenu. Ces choses ont été dites en toute transparence, le choix politique des Français s’est fait en toute transparence et ils l’ont confirmé dans les enquêtes d’opinion ces derniers jours encore. Enfin, et la ministre a eu raison de pointer cette contradiction, vous ne pouvez pas continuer à dire que vous n’êtes pas pour le statu quo, que vous ne seriez pas opposés à voir la part du nucléaire dans la production électrique passer de 75 à 50 % et que c’est seulement la date que vous contestez, tout en demandant, par des amendements qui vont être soumis au vote dans quelques instants, à « stabiliser le potentiel nucléaire français en mettant en oeuvre des programmes de renouvellement des centrales existantes et en allongeant leur durée d’activité ». Je ne sais pas comment vous comptez faire passer de 75 à 50 % la production d’électricité d’origine nucléaire en stabilisant le potentiel nucléaire, en allongeant la durée de vie des centrales les plus anciennes et les plus dangereuses et en en construisant de nouvelles ! Je reconnais que M. Sarkozy – je ne sais pas si vous le soutenez, monsieur Aubert – avait lui aussi été très clair. Il avait dit qu’avec lui, non seulement l’EPR de Flamanville verrait le jour, mais que toutes les centrales seraient maintenues et qu’il voulait même en construire une autre à Penly, je me demande bien avec quel argent, pour accroître encore notre capacité nucléaire. Vous ne pouvez donc pas prétendre que vous êtes favorables à la diminution de la part du nucléaire ou au développement des énergies renouvelables. Vous savez très bien que l’on ne peut pas maintenir la capacité de production nucléaire existante, développer les énergies renouvelables et faire des économies d’énergie. J’espère d’ailleurs que vous n’êtes pas contre les économies d’énergie ! Sinon, cela signifie que vous êtes opposés à la maîtrise des factures et donc à une politique bénéfique pour le pouvoir d’achat des Français et la réduction de leur facture d’énergie.;neutral;08.10.2014
Dans ce cas, je prolongerai mon propos en présentant l'amendement CS679 qui vise à porter à 0 % la part du nucléaire en 2040. Cet objectif qui était, il y a encore peu, une prérogative des écologistes, est quasiment devenu aujourd'hui une proposition de l'Agence de l'environnement et de la maîtrise de l'énergie (ADEME) car son scénario à 100 % d'énergies renouvelables montre que cela est possible et à un coût compétitif. C'est ce que j'ai dit ce matin au colloque organisé par l'Agence. Lorsqu'on a présenté dans la presse ce scénario comme légèrement plus coûteux que des scénarios comportant une part de nucléaire, le coût du mégawattheure était estimé à 80 euros. Le scénario de la Direction générale de l'énergie et du climat (DGEC), qui comporte lui aussi une part de nucléaire, estime ce coût à 90 euros. Quant au coût estimé pour l'EPR de Hinkley point, si l'on parvient à le construire un jour, il est aujourd'hui estimé à 125 euros. La proposition du 100 % renouvelable présente donc aujourd'hui un évident avantage environnemental en termes de sécurité et de coût. Si AREVA est en état de faillite virtuelle, c'est certes dû au fait d'opérations peu astucieuses – je vous renvoie aux propos de l'administrateur général du Commissariat à l'énergie atomique et aux énergies renouvelables (CEA), actionnaire majoritaire – mais aussi que la société perd un milliard par an parce qu'elle n'a pas su s'adapter à la situation post-Fukushima. Le business model français du nucléaire s'est écroulé. Quant à l'EPR de Flamanville, le budget et le calendrier ont explosé. Et l'Autorité de sûreté du nucléaire (ASN) et l'Institut de radioprotection et de sûreté du nucléaire (IRSN) ne sont pas certains de valider les cuves… Dans ces conditions, l'avenir de la production électrique de notre pays est en question. Si nous ne savons pas construire de nouveaux réacteurs et si nous ne sommes pas sûrs de pouvoir prolonger l'existant au-delà de quarante ans, l'urgence d'une alternative au nucléaire devient un sujet de préoccupation majeur. Je m'étonne d'ailleurs de l'ironie de certains, nous devrions tous partager ce souci car la production électrique du pays est menacée si tout ce que nous savons aujourd'hui au sujet de la situation de la filière nucléaire est avéré.;negative;14.04.2015
Madame la ministre, au fil des heures de ce débat, il apparaît que nous sommes tous d’accord sur un point : nous devons tout faire pour diminuer la production de gaz à effet de serre. En revanche, il y a un désaccord majeur sur les voies à suivre. Vous affichez des buts, en particulier celui de réduire de 30 % l’énergie nucléaire en 2025. Cet objectif est incompatible avec la volonté de diminuer les gaz à effet de serre. Nous lui opposons une stratégie globale. Pour nous, en effet, la transition énergétique n’est pas une fin en soi. Ce qui compte, c’est le résultat, c’est la diminution de la production de gaz à effet de serre. Pour cela, il faut « décarboner », ou « décarboniser », je ne sais pas, notre mode de vie. Le premier poste d’économies est le transport. Nous sommes assurément d’accord sur ce point : développer les véhicules électriques ou les véhicules hybrides à faible consommation est un bon axe puisque le secteur des transports consomme une part considérable des énergies fossiles. Cela suppose d’utiliser de l’énergie électrique – et l’énergie électrique décarbonée, jusqu’à preuve du contraire, pour le moment, c’est le nucléaire.;positive;08.10.2014
Votre question, madame la députée, reprend des points que j’ai mentionnés et que je m’efforcerai de compléter. Tout d’abord, nous ne souhaitons pas opposer l’énergie nucléaire et les énergies renouvelables. Toutes sont décarbonées et nécessaires, même si des orientations très précises ont été prises consistant à développer les énergies renouvelables et limiter la part du nucléaire dans la production d’énergie. À cette fin, il fallait structurer la filière ou plus exactement la réarmer, si je puis dire, afin qu’elle soit compétitive à l’export, sécurisée sur ses bases et capable de faire travailler ensemble Areva et EDF, ce qui supposait une opération menée d’abord par les responsables de ces deux entreprises, qui ont travaillé à réorganiser la structure et les priorités de leurs entreprises respectives. L’État a assumé son rôle et s’est très fortement investi dans cette restructuration en faisant d’EDF le chef de file et en engageant des capitaux dans un processus de recapitalisation. Celui-ci est en cours selon un calendrier qui sera tenu dans les premiers mois de cette année. Nous devons être vigilants car il s’agit d’enjeux majeurs, tant énergétiques que stratégiques et financiers. Le coût de l’énergie nucléaire est d’environ 42 euros le mégawatt-heure alors que celui des énergies renouvelables est compris entre 60 et 120 euros le mégawatt-heure, même s’il enregistre une amélioration assez substantielle qui participe d’une ambition générale. Pour résumer notre position, nous réorganisons la filière, nous faisons confiance aux équipes d’EDF et d’Areva et nous accompagnons les reconversions en termes de capital en prenant une participation tout en restant vigilants à la préservation du mix énergétique. Tel est tout l’enjeu de la stratégie définie par le Gouvernement.;positive;10.01.2017
Madame la ministre, vous avez rappelé les engagements du Président de ramener de 75 % à 50 % la part de l'électricité d'origine nucléaire en vantant l'exemple allemand de sortie du nucléaire. Pourtant, vous défendez le pouvoir d'achat, or l'électricité allemande est deux fois plus chère que la nôtre sans nucléaire. En outre, l'Allemagne a compensé la fermeture des centrales par l'ouverture de centrales au charbon qui, chacun le sait, aggravent le changement climatique. Le coût des énergies renouvelables est deux à trois fois plus élevé que celui de l'électricité nucléaire. Comment pensez-vous financer leur développement ? Quel sera l'impact sur le consommateur final ? Votre décision de limiter l'augmentation du prix de l'électricité à l'inflation est en contradiction avec votre volonté de renforcer la sécurité nucléaire après la catastrophe de Fukushima. EDF, qui ne bénéficie pas de subventions publiques, doit continuer à investir dans les centrales nucléaires – celle de Cattenom dans ma circonscription, par exemple, a démarré un programme d'investissement de plus de 3 milliards d'euros sur dix ans. De quelle manière ces investissements seront-ils financés ? Des subventions publiques seront-elles octroyées ? Quel sera, encore une fois, le coût pour le consommateur final ? En outre, laisserez-vous les centrales nucléaires aller au bout de leur vie technique sur base de critères de sécurité, comme je l'espère, ou devrons-nous opérer des choix politiques ? Enfin, pendant la campagne électorale, François Hollande a annoncé un blocage, voire une baisse des prix des carburants. Dans ces conditions, pourquoi mettre en place une taxe de 500 millions d'euros sur les stocks pétroliers, qui se répercutera immanquablement sur les prix ?;positive;11.07.2012
S'il est vrai que le prix du mégawatheure est plus élevé en Allemagne qu'en France, la consommation y est inférieure de 40% à celle de la France, ce qui, au bout du compte, égalise à peu près les factures des consommateurs des deux pays. La remontée de la consommation de charbon en Allemagne n'est pas due au déclin du nucléaire mais à l'effet pervers résultant de l'exploitation de gisements de schistes en Amérique : le charbon remplace non le nucléaire mais le gaz. Ce qui commence à être également vrai en France et soulève des problèmes tels que l'écroulement du marché du carbone. Selon M. Pierre Gadonneix, nous bénéficierions en France du parc nucléaire le plus sûr du monde et universellement reconnu comme tel. Par comparaison avec la Corée, qui ferme ses réacteurs à la suite de problèmes de corruption, avec la Chine, qui a stoppé son programme pour des raisons de sécurité, avec le Japon, pour les motifs que l'on sait, avec la Turquie et l'Inde, qui construisent des centrales dans des zones exposées aux risques sismiques… évidemment la France semble un pays rassurant. Je me souviens néanmoins qu'ici même, il y a quelques semaines, le président de l'Autorité de sûreté nucléaire (ASN) nous a présenté son rapport indiquant que le bilan de la sûreté nucléaire française pouvait être qualifié de « globalement assez satisfaisant » mais en précisant qu'il n'aurait pas été fier de cette appréciation sur son bulletin de notes… Je constate d'ailleurs que le nombre d'arrêts de centrales nucléaires se multiplie, que le taux de disponibilité des réacteurs ne cesse de diminuer et que le nombre d'incidents a augmenté de 10 % en 2012 par rapport à 2011. Est-ce dû au vieillissement des centrales, à la sous-traitance, régulièrement dénoncée par l'ASn ? J'aimerais que le président d'EDF nous livre son analyse à ce sujet et nous indique quelles mesures correctrices il entend prendre. Enfin, M. Nicolas Wolff, les installations éoliennes sont-elles assurées contre les accidents ? Alors pourquoi les centrales nucléaires ne le sont-elles pas ? … N'y a-t-il pas là une distorsion de concurrence entre sources d'énergie ?;negative;29.05.2013
Je remercie Mme la ministre pour sa présentation très précise, qui répond pour partie à nombre de questions que nous allions poser. Cela permettra peut-être de faire tenir ses réponses dans les deux minutes imparties ! Ma première question porte sur les prestataires de service qui sont en nombre croissant pour effectuer des opérations de maintenance dans l'industrie nucléaire ou dans les centrales nucléaires. Ils seraient actuellement au nombre de 22 000, soumis à la pression de la rentabilité, dans le cadre d'un métier à risque, avec une hiérarchie qui occulte les problèmes de santé et de sûreté. L'Office parlementaire d'évaluation des choix scientifiques et technologiques a récemment recommandé un encadrement de la sous-traitance dans l'ensemble des activités du secteur nucléaire civil, déplorant que, dans certains cas, on pouvait trouver jusqu'à huit niveaux de prestataires. De son côté, l'ASN rappelle l'importance des facteurs sociaux, organisationnels et humains comme éléments essentiels de la sûreté. Elle demande aussi que soit revue l'organisation de la sous-traitance. Ces conclusions confirment les inquiétudes exprimées par la fédération CGT mines-énergie sur le fait qu'EDF a privilégié la sous-traitance plutôt que la formation des agents, dans certains métiers décisifs en matière de sécurité – robinetiers, chaudronniers… Cette logique a conduit EDF à sous-estimer les conséquences sur la sécurité des installations et sur la santé des salariés. Madame la ministre, vous venez de nous faire part de votre volonté de limiter les activités sous-traitées pour en limiter l'importance. Comptez-vous avancer vers la création d'un statut des salariés du nucléaire et permettre une prévention efficace, avec l'abaissement de la dose maximale d'exposition, ainsi qu'un suivi obligatoire et indépendant de tous les salariés en activité sur les sites nucléaires ? Ajoutons que, pour que cela puisse bien fonctionner, il faudrait une réappropriation publique de l'ensemble de la filière nucléaire : ce serait, selon moi, le meilleur des outils.;positive;30.05.2013
Je félicite la Cour des comptes pour son rapport, quoi que, lors de votre première audition, j'avais estimé qu'elle prenait la recherche à la légère. Malgré son intitulé, la commission d'enquête a plus longuement réfléchi à la transition énergétique qu'au coût de la filière nucléaire. Nous revenons aujourd'hui au point de départ. Je regrette que nous n'ayons pas eu vos chiffres au début de nos travaux. En matière de coûts, le facteur déterminant est la durée de vie du dispositif actuel, soit la durée sur laquelle on calcule l'investissement. Nous disposons désormais d'une base solide. Vous avez pris le sujet de la sécurité comme il faut le faire, sachant que, si l'État assume les risques au-delà d'une certaine limite, il le ferait aussi pour la rupture d'un barrage ou un risque lié à l'éolien ou au photovoltaïque. Les accidents restent exceptionnels. Celui de Fukushima n'a d'ailleurs pas incité les Japonais à renoncer au nucléaire. L'énergie nucléaire est la moins chère. En outre, pour la quatrième génération, nous disposons de réserves pour 5 000 à 7 000 ans, et non pour 130. C'est pourquoi la transition énergétique doit se faire non du nucléaire vers l'éolien ou le photovoltaïque, mais du nucléaire vers le nucléaire, grâce au passage de la troisième à la quatrième génération. Évitons seulement de creuser un fossé entre celles-ci, alors que tous les autres pays s'installent dans la quatrième génération. La non-décision ou les remises en cause, au gré des changements de majorité, nous sont préjudiciables. Grâce aux éléments que vous nous avez apportés, nous disposons de suffisamment d'informations pour effectuer des choix politiques.;positive;27.05.2014
