filtered_text;date
Januar 2011 wird eine Abschöpfungssteuer auf Sondergewinne ein- geführt, die Betreiber von Atomkraftwerken (AKW) erzielen. Januar 2011 bei jedem Atomkraftwerk jährlich eine zusätzliche Steuer von 100 000 Euro pro Megawatt Nettokapazität erhoben. Gleichfalls profitieren davon Betreiber von Atomkraftwerken, obwohl ihre An- lagen nicht emissionshandelspflichtig sind. So steigen auch bei Atomkraftwerken durch den nunmehr höheren Strompreis die Einnahmen, da sich diese als Differenz zwischen den eigenen laufenden Kosten und dem jeweiligen Stromhandelspreis inklusive genannter CO2-Kosten bilden. Gleichzeitig bleiben jedoch die Extragewinne der AKW-Betreiber aus dem Emissionshandel solange bestehen, wie Atomkraftwerke am Netz sind. Um die leistungs- und risikolos erzielten Gewinne aus den Preiseffekten beim Emissionshandel sowie der nicht verursachergerechten Anlastung der Folge- kosten durch Errichtung, Betrieb und Stilllegung von Anlagen zur Endlagerung radioaktiver Abfälle abzuschöpfen, sollen drei Sondersteuern erhoben werden: zwei für Betreiber von Atomkraftwerken und eine für Betreiber emissionshan- delspflichtiger Anlagen der fossilen Stromwirtschaft. Zusätz- lich wird bei jedem Atomkraftwerk jährlich eine Steuer von 100 000 Euro pro Megawatt Nettokapazität erhoben. Damit sollen sich die AKW-Betreiber an den volkswirtschaftlichen Kosten beteiligen, welche die Atomkraft der Gesellschaft aufbürdet. So fungiert ein Atomkraftwerk an der Strombörse aufgrund seiner im Vergleich zu fossil befeuerten Kraftwerken niedrigen laufenden Kosten nie als preissetzendes Grenzkraftwerk. Bei Umsetzung der von der Regierungskoalition beschlossenen Laufzeitverlän- gerung für Atomkraftwerke würden die Betreiber nach Berechnungen des Öko- Instituts zusätzliche Sondergewinne aus der Stromerzeugung in Höhe von ins- gesamt zwischen 58 Mrd.;10.11.2010
Hier fordern Sie zwar einen ökologi- schen Umbau der Wirtschaft, aber Sie führen nicht aus, dass überall im Land neue Arbeitsplätze geschaffen kön- nen, wenn man den Energiebedarf ausschließlich aus er- neuerbaren Energien deckt und auf Atomkraft und Kohle verzichtet. (Beifall bei Abgeordneten der SPD) Wer wie Herr Westerwelle in seinen Reden Brasilien und andere Länder zu Rohstofflieferanten – auch Frau Hübinger konnte sich das Wort „Schatzkammer“ nicht verkneifen – degradieren will und wer wie diese Bundes- regierung schamlos Sonderinteressen gewisser Konzerne bedient, die dort Großstaudämme und Atomkraftwerke bauen wollen, (Christel Humme [SPD]: Genau!) der hat jeden Anspruch verloren, von Partnerschaft, der Förderung kleiner und mittlerer Unternehmen, vernünf- tiger Energiepolitik und einer breiten politischen Ge- samtstrategie zu reden. Was mich sehr gewun- dert hat, ist, dass Sie zwar sehr ausführlich zur Atom- kraft und zu Atomkraftwerken Stellung nehmen, ich in dem Antrag aber keinen einzigen Satz dazu finde, wie Sie sich zu den vielen Staudammprojekten verhalten, die Lula plant, nämlich unter anderem das Projekt Belo Monte. Sie verhandelt ernsthaft über Hermesbürgschaften für neue Atomkraftwerke.;22.04.2010
"Höll, Barbara (DIE LINKE.) Finanzielle Konsequenzen der Laufzeit- verlängerung von Atomkraftwerken infol- ge der Abzugsmöglichkeit der Kern- brennstoffsteuer von Körperschaft- und Gewerbesteuer für die öffentlichen Haus- halte auf Basis der in den Jahren 2004 bis 2009 eingesetzten Kernbrennstoffe . 24 Auswirkungen der Betriebsverlängerung von Atomkraftwerken infolge veränderter Rückstellungen für den Rückbau und der veränderten Ertragsbesteuerung aus dem Kernbrennstoffsteuergesetz auf die Bilan- zen der Kraftwerksbetreiber und die Steuereinnahmen der öffentlichen Haus- halte . 106 Kotting-Uhl, Sylvia (BÜNDNIS 90/DIE GRÜNEN) Kapazität der Brennelementelagerbecken in den Atomkraftwerken; geplanter Aus- tausch der Brennelemente . Wahlperiode Drucksache 17/3736 – VII – Seite Seite Erstinformation über den geplanten Ein- satz neuer Brennelemente im Atomkraft- werk Biblis B durch die hessische Landes- regierung im Hinblick auf die ab 2011 gel- tende Kernbrennstoffsteuer . Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Wie groß ist jeweils die maximale Brennele- mentekapazität der Brennelementelagerbecken in den 17 deutschen Atomkraftwerken (also die maximale Anzahl an Brennelementen, die die jeweiligen Lagerbecken aufnehmen kön- nen), und welche Erkenntnisse hat die Bundes- regierung über für dieses Jahr noch geplante Brennelementeaustausche in den Atomkraft- werken? Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Wann genau (Datum) hat das Hessische Minis- terium für Umwelt, Energie, Landwirtschaft und Verbraucherschutz (HMUELV) die Bun- desregierung erstmals über den von RWE für November 2010 geplanten Einsatz von 92 neuen Brennelementen im Atomkraftwerk Biblis B und die sich daraus aus der Sicht des HMUELV ergebenden Konsequenzen hin- sichtlich der ab 1. Januar 2011 geltenden Kernbrennstoffsteuer informiert (bitte mit An- gabe aller vom HMUELV informierten Bun- desministerien), und wann genau (Datum) wurde das Bundesministerium der Finanzen erstmals über den von RWE für November 2010 geplanten Einsatz von 92 neuen Brenn- elementen im Atomkraftwerk Biblis B infor- miert?";12.11.2010
Antwort der Bundesregierung auf die Kleine Anfrage der Abgeordneten Sylvia Kotting-Uhl, Bärbel Höhn, Hans-Josef Fell, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/ DIE GRÜNEN – Drucksache 17/3600 – Atomkraftwerke – angefallener Atommüll (Teil II) Vorbemerkung der Fragesteller Ergänzend zu der Kleinen Anfrage auf Bundestagsdrucksache 17/3148 zu den Mengen hochradioaktiver wärmeentwickelnder Abfälle, die bereits in Behäl- tern zwischengelagert werden, soll mit dieser Kleinen Anfrage die Menge der abgebrannten Brennelemente erfragt werden, die sich zu dem Stichtag, auf den sich die Antwort der Bundesregierung auf die o. Welche Mengen abgebrannter Atomkraftwerke-Brennelemente lagerten zum Stichtag 31.;12.11.2010
Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Kann die Bundesregierung mit Sicherheit aus- schließen, dass in Zukunft abgebrannte Brenn- elemente aus deutschen Atomkraftwerken, die weder aus amerikanischer noch sowjetischer bzw.;19.11.2010
zu der zweiten Beratung des Gesetzentwurfs der Bundesregierung – Drucksachen 17/2500, 17/2502, 17/3522, 17/3524, 17/3525 – Entwurf eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2011 (Haushaltsgesetz 2011) hier: Einzelplan 60 Allgemeine Finanzverwaltung Der Bundestag wolle beschließen: a) In Kapitel 60 01 wird der neue Titel 031 06 „Steuer auf Sondergewinne aus dem Emissionshandel – Atomkraftwerke“ eingefügt. b) In Kapitel 60 01 wird der neue Titel 031 07 „Sondersteuer Atomkraftwerke“ eingefügt. Um die leistungs- und risikolos erzielten Gewinne aus den Preiseffekten beim Emissionshandel sowie der nicht verursachergerechten Anlastung der Folgekos- ten durch Errichtung, Betrieb und Stilllegung von Anlagen zur Endlagerung radioaktiver Abfälle abzuschöpfen, sollen drei Sondersteuern erhoben werden: zwei für Betreiber von Atomkraftwerken (AKW) und eine für Betreiber emis- sionshandelspflichtiger Anlagen der fossilen Stromwirtschaft. Zusätzlich wird bei jedem Atomkraftwerk jährlich eine Steuer von 100 000 Euro pro Megawatt Nettokapazität erhoben. Damit sollen sich die AKW-Betreiber an den volkswirt- schaftlichen Kosten beteiligen, welche die Atomkraft der Gesellschaft aufbür- det. Die vorgesehenen Steuern für Atomkraftwerke sind ausdrücklich nicht als „Handelsgeschäft“ mit den Energiekonzernen zum Ausgleich von Vorteilen zu verstehen, die den Betreibern aus der beschlossenen Laufzeitverlängerung zufallen.;22.11.2010
Anlage 81 Mündliche Frage 112 Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Menge des zusätzlichen radioaktiven In- ventars bei Laufzeitverlängerung sämtli- cher in Betrieb befindlicher Atomkraft- werke um 10, 20 bzw. Anlage 83 Mündliche Frage 114 Bärbel Höhn (BÜNDNIS 90/ DIE GRÜNEN) Berechnung der Kosten der Atomkraft für die Energieszenarien der Bundesregierung Antwort Katherina Reiche, Parl. Der Hintergrund ist: In der letzten Legisla- turperiode hatten wir bereits die Diskussion über die Hermesbürgschaften zum Beispiel für brasilianische Atomkraftwerke. Staatssekretärs Hans-Joachim Otto auf die Frage des Abgeordneten Hans-Josef Fell (BÜND- NIS 90/DIE GRÜNEN (Drucksache 17/1534, Frage 67): Beinhalten die Szenarien, welche die Bundesregierung sich zur Erarbeitung ihres Energiekonzeptes erarbeiten lässt, auch dynamische Simulationen, welche die Fluktuationscha- rakteristik von Wind- und Solarenergie mit stündlicher Auf- lösung für die Zieljahre unter realen meteorologischen und hydrologischen Bedingungen berücksichtigen, und, falls ja, werden daraus Rückschlüsse auf die jeweiligen Jahresvolllast- stunden konventioneller Kraftwerke – Atomkraftwerke, Koh- lekraftwerke, Erdgaskraftwerke, Ölkraftwerke – im Betrach- tungszeitraum gezogen? Staatssekretärin Katherina Reiche auf die Frage der Abgeordneten Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) (Drucksache 17/1534, Frage 112): Um welche Menge würde sich das radioaktive Inventar in Bezug auf Radionukleide mit einer Halbwertzeit von zehn Jahren erhöhen, wenn die Laufzeit sämtlicher in Betrieb be- findlicher Atomkraftwerke um 10, 20 bzw. Staatssekretärin Katherina Reiche auf die Frage der Abgeordneten Bärbel Höhn (BÜNDNIS 90/DIE GRÜNEN) (Drucksache 17/1534, Frage 114): Wie sollen die Gutachter, die derzeit die Energieszenarien der Bundesregierung berechnen, realistische Werte für die Kosten der Atomkraft ansetzen, wenn sie nach Aussage der Bundesregierung vom 28.;05.05.2010
Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Hat der zuständige Abteilungsleiter des Landes Schleswig-Holstein dem Bundesministerium für Um- welt, Naturschutz und Reaktorsicherheit (BMU) sei- ne Vorbehalte im Hinblick auf die Bund-Länder- Nachrüstliste für Atomkraftwerke nach dem 5.;26.11.2020
"Hermann Ott, Brigitte Pothmer, Dorothea Steiner und der Fraktion BÜNDNIS 90/DIE GRÜNEN Förderung von Forschungsvorhaben im Atomkraft- und Atommüllbereich durch das Bundesministerium für Wirtschaft und Technologie und das Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit Das Bundesministerium für Wirtschaft und Technologie (BMWi) finanziert diverse Gutachten, Forschungsvorhaben und Entwicklungsprojekte im Atom- bereich. Wie ist a) im BMWi und b) im BMU die Vergabe von Mitteln für Gutachten, Forschungsvorhaben und Entwick- lungsprojekte im Atomkraft- und Atommüllbereich organisiert (im Falle von Gremien o. Welche Gutachten, Forschungsvorhaben und Entwicklungsprojekte im Atomkraft- und Atommüllbereich haben a) das BMWi und b) das BMU in dieser und in der letzten Wahlperiode in welcher Höhe gefördert (außer den in Bundestagsdrucksache 17/2405 bereits genannten; bitte tabellarische Übersicht mit Zuwendungsempfänger, Kurzbeschreibung des Projekts etc.";26.11.2010
"Deswegen brauchen wir am Sonntag bei der Landtagswahl eine andere Mehrheit, eine rot-grüne Mehrheit, eine Mehrheit, die für erneuerbare Energien eintritt und die im Übrigen auch über den Bundesrat da- gegen kämpft, dass die Atomkraftwerke hier in Deutsch- land länger laufen, und zwar bis zum Jahre 2050. (Beifall bei der SPD) Die Laufzeitverlängerung für die Atomkraftwerke, die Sie anstreben, wird Nordrhein-Westfalen doppelt und dreifach schaden. Wir haben zwar keine Atomkraft- werke; aber in Nordrhein-Westfalen wird nicht mehr in- vestiert, und da auch anderswo nicht investiert wird, werden die nordrhein-westfälischen Technologien nicht abgefragt werden. (Bärbel Höhn [BÜNDNIS 90/DIE GRÜNEN]: Aber die Förderung für die Atomkraftwerke dürfen sie bezahlen!) Wenn wir ihnen schon zwangsweise Geld aus der Tasche ziehen, um damit Fotovoltaik zu fördern – das ist mit ku- mulierten 70 bis 100 Milliarden Euro eine ganz erhebli- che Zahl –, dann müssen wir das gut begründen können. (Widerspruch bei der CDU/CSU und der FDP) Mit geplanten Laufzeitverlängerungen für Atomkraft- werke fing es an. Laut Greenpeace wurden Atomkraftwerke in 60 Jahren mit 165 Milliarden Euro unterstützt. An- ders gesagt: Pro Jahr fördern Sie die Solarindustrie mit so viel Geld, wie der Castortransport pro Jahr kostet, wenn Sie die Laufzeit für Atomkraftwerke verlängern. 150 000 Menschen haben vor- letztes Wochenende eindrucksvoll gegen eine Verlänge- rung der Laufzeit von Atomkraftwerken demonstriert. (Waltraud Wolff [Wolmirstedt] [SPD]: Dann verlängern Sie doch die Atomkraft nicht!) Die Wachstumsstrategie, die wir verfolgen, ist allerdings keine Subventionsstrategie, sondern eine Marktstrategie. (Beifall bei der SPD sowie bei Abgeordneten der LINKEN und des BÜNDNISSES 90/DIE GRÜNEN) Lassen Sie doch bitte das falsche Lob für die erneuerba- ren Energien, und sagen Sie den Menschen ehrlich, dass Ihr Energiekonzept Atomkraft heißt! Liebe Kolleginnen und Kollegen, bevor ich die Sitzung unterbreche, teile ich Ihnen mit, dass sich die Fraktionen verständigt haben, den Tagesordnungspunkt 7 – dabei handelt es sich um die Große Anfrage der Fraktion der SPD zu den Auswirkungen der Verlängerung der Rest- laufzeiten von Atomkraftwerken – von der Tagesordnung abzusetzen. Eine unkontrollierbare Kettenreaktion ist aber, anders als bei der Atomkraft, zum Glück nicht möglich. Das geschah bereits 1985, und der politische Glaube an solche Großtechnologien wie die Atomkraft schien in dieser Zeit ungebrochen.";06.05.2010
Der Beamte, ein Angehöriger der Eliteeinheit CRS (Compagnies Républicaines de Sécurité), hatte an einem Einsatz gegen Atomkraftgegner aktiv teilgenommen. Aufgrund der angeblichen Gefährdung durch Atomkraftgegner habe der Beamte Uniform und Schutzausstattung getragen. Dies alles verfestigt den Eindruck der Fraktion DIE LINKE., dass anlässlich des Castoreinsatzes unter Missachtung von Rechtsgrundlagen ein gemeinsamer Einsatz gegen Atomkraftgegner statt- gefunden hat.;01.12.2010
Einsatz ausländischer Polizeikräfte in Deutschland sowie deutscher Polizeikräfte im Ausland Der Einsatz eines französischen Polizisten der Compagnies Républicaines de Sécurité (CRS) gegen Anti-Atomkraft-Demonstranten anlässlich des Castor- transportes wirft grundsätzliche Fragen zu Umfang und Praxis solcher inter- nationalen Einsätze auf.;01.12.2010
"Matthias Miersch (SPD) Ist die Bundesregierung bereit, dem Parlament die in den Bundesländern erstellten Auflistungen von konkreten oder angedachten Nachrüstungen von Atomkraftwerken zur Verfügung zu stellen, sobald diese der Bundesregierung vorliegen? September 2010 hinsichtlich des weiteren Vorgehens für die Atomkraftwerke- Nachrüstung getroffen (beispielsweise welche kon- kreten Fristen wurden für die anlagenscharfe Er- mittlung des tatsächlichen Nachrüstbedarfs verein- bart; vgl.";10.12.2010
91 Bülow, Marco (SPD) Maßnahmen und Kosten zur Nachrüstung von Atomkraftwerken . Oktober 2010) der bayerische Umweltmi- nister Markus Söder davon spricht, dass die Betreiber der bayerischen Atomkraftwerke rund 1,2 Mrd. Euro in die Sicherheit der Atomanlagen investieren müssten und eine Liste mit notwendigen Nachrüstarbeiten in je- dem bayerischen Atomkraftwerken vorliegen – Informationen darüber, ob es in den einzelnen Bundesländern, in denen sich Standorte von kommerziell betriebenen Atomreaktoren be- finden, Auflistungen von konkreten oder an- gedachten Maßnahmen zur Nachrüstung von Atomkraftwerken vorliegen, und wenn ja, ob konkrete oder ungefähre Abschätzungen der Kosten für jedes einzelne Atomkraftwerk in diesem Zusammenhang genannt sind? Abgeordneter Marco Bülow (SPD) Wie hoch sind die konkreten oder geschätzten Kosten für die notwendigen Nachrüstungen aufgeschlüsselt nach den einzelnen Atomkraft- werken – davon ausgehend, dass der Bundesre- gierung Auflistungen von notwendigen Nach- rüstarbeiten in den einzelnen Atomkraftwer- ken, in denen auch Kosten genannt sind, vor- liegen? Dezember 2010 Die Bundesregierung hat Informationen darüber, dass in den Bun- desländern Auflistungen von konkreten oder angedachten Maßnah- men zur Nachrüstung von Atomkraftwerken vorbereitet werden. Abgeordneter Klaus Hagemann (SPD) Wie hoch sind jeweils im Einzelnen die geplan- ten Kosten der vom Bundesamt für Strahlen- schutz genehmigten Castor-Transporte von 140 Glaskokillen (fünf Castoren) unter Einbe- ziehung der Aufwendungen für die polizeiliche Begleitung aus der früheren Wiederaufberei- tungsanlage Karlsruhe und von vier Castoren aus dem französischen St.-Paul-les-Durance ins Zwischenlager Nord am Standort Lubmin, die für 2011 veranschlagten, jährlichen Kosten für die Zwischenlagerung der Castoren sowohl aus Karlsruhe als auch aus Frankreich, die Beteili- gung der ursprünglichen Verursacher des ra- dioaktiven Abfalls, wie insbesondere die verur- sachergemäße Einbeziehung der Betreiber von Atomkraftwerken, am Transport und an der Zwischenlagerung des aus Karlsruhe stammen- den radioaktiven Abfalls, und welche Position hat die Bundesregierung zu dem mit den Stim- men der CDU-Landtagsfraktion am 9.;10.12.2010
"Antwort der Bundesregierung auf die Kleine Anfrage der Abgeordneten Sylvia Kotting-Uhl, Bärbel Höhn, Hans- Josef Fell, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN – Drucksache 17/3965 – Förderung von Forschungsvorhaben im Atomkraft- und Atommüllbereich durch das Bundesministerium für Wirtschaft und Technologie und das Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit Vorbemerkung der Fragesteller Das Bundesministerium für Wirtschaft und Technologie (BMWi) finanziert diverse Gutachten, Forschungsvorhaben und Entwicklungsprojekte im Atom- bereich. Wie ist a) im BMWi und b) im BMU die Vergabe von Mitteln für Gutachten, Forschungsvorhaben und Entwick- lungsprojekte im Atomkraft- und Atommüllbereich organisiert (im Falle von Gremien o. Welche Gutachten, Forschungsvorhaben und Entwicklungsprojekte im Atomkraft- und Atommüllbereich haben a) das BMWi und b) das BMU in dieser und in der letzten Wahlperiode in welcher Höhe gefördert (außer den in Bundestagsdrucksache 17/2405 bereits genannten; bitte tabellarische Übersicht mit Zuwendungsempfänger, Kurzbeschreibung des Projekts etc.";14.12.2010
"Zusatztagesordnungspunkt 3: Aktuelle Stunde auf Verlangen der Fraktion der SPD: Unterschiedliche verfassungs- rechtliche Auffassungen in der Bundesre- gierung zur Verlängerung von Atomkraft- werkslaufzeiten Ulrich Kelber (SPD) . Anlage 9 Mündliche Frage 18 Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Einigung bei den Nachrüstkosten im Zu- sammenhang mit Laufzeitverlängerungen von Atomkraftwerken sowie etwaige Gut- achtervorschläge dazu Antwort Ernst Burgbacher, Parl. Außerdem ist vorgesehen, nach der Un- terbrechung der Sitzung um 13 Uhr zunächst mit der Fragestunde zu beginnen, anschließend die von der Fraktion der SPD verlangte Aktuelle Stunde zur Laufzeit von Atomkraftwerken aufzurufen und erst danach die Befragung der Bundesregierung durchzuführen. Ich rufe den Zusatzpunkt 3 auf: Aktuelle Stunde auf Verlangen der Fraktion der SPD Unterschiedliche verfassungsrechtliche Auf- fassungen in der Bundesregierung zur Verlän- gerung von Atomkraftwerkslaufzeiten Ich eröffne die Aussprache. Minister Pofalla hat öffentlich verkündet, er möchte die Gesetzgebung zur Verlängerung der Laufzeiten von Atomkraftwerken ohne eine Beteiligung des Bundesra- tes machen, also eine windige verfassungsrechtliche Konstruktion zur Lobbyistenbedienung finden; so kann man das Ganze auch nennen. Sie haben zugesichert, Sie würden eine Ver- längerung der Laufzeiten nur unter höchsten Sicherheits- anforderungen anstreben, also unter der Voraussetzung, dass die Atomkraftwerke entsprechend nachgerüstet werden. Das heißt, wer die Zustim- mungspflicht umgehen will, muss auf Sicherheitsaufla- gen für die Atomkraftwerke verzichten. Die verfassungsrechtli- che Frage, um die es geht, lautet: Benötigt eine Bundes- gesetzgebung – dass der Bundesgesetzgeber zuständig ist, ist unstrittig – zu einer Verlängerung der Laufzeit von Atomkraftwerken die Zustimmung des Bundes- rates? Die Entscheidungen dafür müssen aber heute getroffen werden; denn wir, auch diese Koalition, haben entschie- den: Es wird keine neuen Atomkraftwerke geben. Im Koalitionsvertrag steht: Das Verbot, neue Atomkraft- werke zu bauen und zu betreiben, wird aufrechterhalten. Herr Umweltminister, Herr Kauch, wenn ein Atomkraft- werk zwei Jahre stillsteht, ist das im Allgemeinen kein Anlass für die Atomaufsicht, sich ins Bett zu legen; ganz im Gegenteil: Es hat meistens seine Gründe, wenn ein Atomkraftwerk stillsteht. Das Einzige, was darüber hinaus konkret gesagt worden ist, lautet: Wir wollen die Verlängerung der Laufzeit von Atomkraftwerken. Wenn Sie Klarheit wollen, dann machen Sie endlich Schluss mit den Debatten über die Verlängerung der Laufzeiten von Atomkraftwerken. Ich habe bereits gesagt, dass in meinem Wahlkreis das Atomkraftwerk Biblis steht. Staatssekretärin Katherina Reiche auf die Frage der Abgeordneten Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) (Drucksache 17/1694, Frage 52): Auf Grundlage welcher Genehmigungen wurden im Zeit- raum 1992 bis 2009 radioaktive Abwässer am Standort Lubmin – Atomkraftwerk Greifswald und Zwischenlager Nord – in die Ostsee eingeleitet – bitte mit Angabe des Da- tums der Genehmigung –, und welche maximalen Abwasser- mengen, die jährlich abgeleitet werden dürfen, sind in diesen Genehmigungen jeweils festgelegt?";19.05.2010
– Drucksache 17/4092 – Einsatz ausländischer Polizeikräfte in Deutschland sowie deutscher Polizeikräfte im Ausland Vorbemerkung der Fragesteller Der Einsatz eines französischen Polizisten der Compagnies Républicaines de Sécurité (CRS) gegen Anti-Atomkraft-Demonstranten anlässlich des Castor- transportes wirft grundsätzliche Fragen zu Umfang und Praxis solcher inter- nationalen Einsätze auf.;20.12.2010
Abgeordnete Bärbel Höhn (BÜNDNIS 90/ DIE GRÜNEN) Welchen Hermes-Bürgschaften im Rahmen von Atomexporten hat die Bundesregierung in dieser Legislaturperiode stattgegeben, und welche entsprechenden Bürgschaftsanträge lie- gen momentan der Bundesregierung vor (bitte bei beiden Teilfragen jeweils Atomkraftwerk, Technologie und Bürgschaftshöhe auflisten)? Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) In welchen Genehmigungen westdeutscher Atomkraftwerke ist das Endlager Morsleben (ERAM) erwähnt, und insbesondere mit wel- chen exakten Formulierungen?;23.12.2010
45 Geschäftsbereich des Bundesministeriums der Verteidigung Hofmann, Frank (Volkach) (SPD) Flugübungen des US-Militärs mit Kampf- jets in unmittelbarer Nähe des Atomkraft- werks Grafenrheinfeld . Abgeordneter Frank Hofmann (Volkach) (SPD) Wird die Bundesregierung in Zukunft die Durchführung von Flugübungen in unmittel- barer Nähe von Atomkraftwerken, insbesonde- re des in Grafenrheinfeld, verhindern?;30.12.2010
13 Geschäftsbereich des Bundesministeriums der Verteidigung Fell, Hans-Josef (BÜNDNIS 90/DIE GRÜNEN) Flugübungen mit Kampfflugzeugen in unmittelbarer Nähe des Atomkraftwerks Grafenrheinfeld . 19 Probabilistische Sicherheitsanalysen für deutsche Atomkraftwerke . Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Gilt aus Sicht der Bundesregierung die verän- derte Terrorismus-Sicherheitslage auch für die mögliche Bedrohung von Atomkraftwerken, und falls nein, wieso nicht? Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Hält die Bundesregierung es für richtig, dass Militärflugübungen gerade in der Nähe von Atomkraftwerken – wie am 13. Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Für welche deutschen Atomkraftwerke gibt es probabilistische Studien, die die Wahrschein- lichkeit eines nuklearen Ereignisses abschät- zen, und wie lauten die Quellangaben dieser Studien?;07.01.2011
Abgeordnete Dorothee Menzner (DIE LINKE.) Welche Auffassung über die Sicherheitsrelevanz hat die Bundesregierung bezüglich des durch Ultra- schallmessungen festgestellten möglichen Risses ei- ner Hauptkühlleitung innerhalb des Reaktors im Atomkraftwerk Grafenrheinfeld, über den seit dem Wochenende in den Medien berichtet wird? Abgeordnete Dorothee Menzner (DIE LINKE.) Welche unmittelbaren Maßnahmen zur Gefahrenab- wehr und zur Prüfung des neuesten Vorfalls im Atomkraftwerk Grafenrheinfeld hat die Bundesre- gierung eingeleitet?;18.01.2011
Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Ist es richtig, dass es vor dem jetzigen Primärkreis- laufbefund im Atomkraftwerk Grafenrheinfeld bis- lang in Deutschland noch nie zugelassen worden ist, dass ein Atomkraftwerk mit bestehendem Befund im Primärkreislauf weiterläuft? Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Wann genau (genaues Datum) hat das Bundesminis- terium für Umwelt, Naturschutz und Reaktorsicher- heit die Gesellschaft für Anlagen- und Reaktorsi- cherheit im Zusammenhang mit dem aktuellen Be- fund im Primärkreislauf des Atomkraftwerks Gra- fenrheinfeld mit der Erstellung einer Weiterleitungs- nachricht beauftragt, und sollen in diese die Unter- suchungsergebnisse der für März 2011 geplanten Untersuchung und Ursachenklärung des o.;21.01.2011
15 Hofmann, Frank (Volkach) (SPD) Bewaffnung von US-Kampfjets bei einer Flugübung in der Nähe des Atomkraft- werks Grafenrheinfeld . Dezember 2010 über der Gemeinde Schwebheim, in unmittel- barer Nähe des Atomkraftwerks Grafenrhein- feld, bestückt? Abgeordneter Frank Hofmann (Volkach) (SPD) Hält die Reaktorkuppel des Atomkraftwerks Grafenrheinfeld dem Aufprall aktuell verwen- deter Kampfjets, gegebenenfalls mit entspre- chender Bewaffnung, oder dem Aufprall eines voll betankten Airbus 320 stand? Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Wann wird nach den aktuellen Erkenntnissen des Bundesministeriums für Umwelt, Natur- schutz und Reaktorsicherheit (BMU) die mit der neunten Atomgesetznovelle vom April 2002 festgelegte Reststrommenge für das Atomkraftwerk Neckarwestheim 1 (GKN-1) aufgebraucht sein, wenn dieses ungefähr mit der gleichen Leistung wie seit dem 23.;21.01.2011
